# a    t_Gyr
5.99999e-06 7.88692e-05
5.99999e-06 7.90939e-05
5.99999e-06 7.93186e-05
5.99999e-06 7.95433e-05
5.99999e-06 7.9768e-05
5.99999e-06 7.99927e-05
5.99999e-06 8.02174e-05
5.99999e-06 8.04421e-05
5.99999e-06 8.06668e-05
5.99999e-06 8.08915e-05
5.99999e-06 8.11162e-05
5.99999e-06 8.13409e-05
5.99999e-06 8.15656e-05
5.99999e-06 8.17903e-05
5.99999e-06 8.20149e-05
5.99999e-06 8.22396e-05
5.99999e-06 8.24643e-05
5.99999e-06 8.2689e-05
5.99999e-06 8.29137e-05
5.99999e-06 8.31384e-05
5.99999e-06 8.33631e-05
5.99999e-06 8.35878e-05
5.99999e-06 8.38125e-05
5.99999e-06 8.40372e-05
5.99999e-06 8.42619e-05
5.99999e-06 8.44866e-05
5.99999e-06 8.47113e-05
5.99999e-06 8.4936e-05
5.99999e-06 8.51607e-05
5.99999e-06 8.53854e-05
5.99999e-06 8.56101e-05
5.99999e-06 8.58348e-05
5.99999e-06 8.60595e-05
5.99999e-06 8.62842e-05
5.99999e-06 8.65089e-05
5.99999e-06 8.67336e-05
5.99999e-06 8.69583e-05
5.99999e-06 8.7183e-05
5.99999e-06 8.74077e-05
5.99999e-06 8.76324e-05
5.99999e-06 8.78571e-05
5.99999e-06 8.80818e-05
5.99999e-06 8.83065e-05
5.99999e-06 8.85312e-05
5.99999e-06 8.87559e-05
5.99999e-06 8.89806e-05
5.99999e-06 8.92053e-05
5.99999e-06 8.943e-05
5.99999e-06 8.96547e-05
5.99999e-06 8.98794e-05
5.99999e-06 9.01041e-05
5.99999e-06 9.03288e-05
5.99999e-06 9.05535e-05
5.99999e-06 9.07782e-05
5.99999e-06 9.10029e-05
5.99999e-06 9.12276e-05
5.99999e-06 9.14523e-05
5.99999e-06 9.1677e-05
5.99999e-06 9.19017e-05
5.99999e-06 9.21264e-05
5.99999e-06 9.23511e-05
5.99999e-06 9.25758e-05
5.99999e-06 9.28005e-05
5.99999e-06 9.30252e-05
5.99999e-06 9.32499e-05
5.99999e-06 9.34746e-05
5.99999e-06 9.36993e-05
5.99999e-06 9.3924e-05
5.99999e-06 9.41487e-05
5.99999e-06 9.43734e-05
5.99999e-06 9.45981e-05
5.99999e-06 9.48228e-05
5.99999e-06 9.50475e-05
5.99999e-06 9.52722e-05
5.99999e-06 9.54969e-05
5.99999e-06 9.57216e-05
5.99999e-06 9.59463e-05
5.99999e-06 9.6171e-05
5.99999e-06 9.63957e-05
5.99999e-06 9.66204e-05
5.99999e-06 9.6845e-05
5.99999e-06 9.70697e-05
5.99999e-06 9.72944e-05
5.99999e-06 9.75191e-05
5.99999e-06 9.77438e-05
5.99999e-06 9.79685e-05
5.99999e-06 9.81932e-05
5.99999e-06 9.84179e-05
5.99999e-06 9.86426e-05
5.99999e-06 9.88673e-05
5.99999e-06 9.9092e-05
5.99999e-06 9.93167e-05
5.99999e-06 9.95414e-05
5.99999e-06 9.97661e-05
5.99999e-06 9.99908e-05
5.99999e-06 0.000100216
5.99999e-06 0.00010044
5.99999e-06 0.000100665
5.99999e-06 0.00010089
5.99999e-06 0.000101114
5.99999e-06 0.000101339
5.99999e-06 0.000101564
5.99999e-06 0.000101788
5.99999e-06 0.000102013
5.99999e-06 0.000102238
5.99999e-06 0.000102463
5.99999e-06 0.000102687
5.99999e-06 0.000102912
5.99999e-06 0.000103137
5.99999e-06 0.000103361
5.99999e-06 0.000103586
5.99999e-06 0.000103811
5.99999e-06 0.000104035
5.99999e-06 0.00010426
5.99999e-06 0.000104485
5.99999e-06 0.000104709
5.99999e-06 0.000104934
5.99999e-06 0.000105159
5.99999e-06 0.000105384
5.99999e-06 0.000105608
5.99999e-06 0.000105833
5.99999e-06 0.000106058
5.99999e-06 0.000106282
5.99999e-06 0.000106507
5.99999e-06 0.000106732
5.99999e-06 0.000106956
5.99999e-06 0.000107181
5.99999e-06 0.000107406
5.99999e-06 0.000107631
5.99999e-06 0.000107855
5.99999e-06 0.00010808
5.99999e-06 0.000108305
5.99999e-06 0.000108529
5.99999e-06 0.000108754
5.99999e-06 0.000108979
5.99999e-06 0.000109203
5.99999e-06 0.000109428
5.99999e-06 0.000109653
5.99999e-06 0.000109878
5.99999e-06 0.000110102
5.99999e-06 0.000110327
5.99999e-06 0.000110552
5.99999e-06 0.000110776
5.99999e-06 0.000111001
5.99999e-06 0.000111226
5.99999e-06 0.00011145
5.99999e-06 0.000111675
5.99999e-06 0.0001119
5.99999e-06 0.000112125
5.99999e-06 0.000112349
5.99999e-06 0.000112574
5.99999e-06 0.000112799
5.99999e-06 0.000113023
5.99999e-06 0.000113248
5.99999e-06 0.000113473
5.99999e-06 0.000113697
5.99999e-06 0.000113922
5.99999e-06 0.000114147
5.99999e-06 0.000114372
5.99999e-06 0.000114596
5.99999e-06 0.000114821
5.99999e-06 0.000115046
5.99999e-06 0.00011527
5.99999e-06 0.000115495
5.99999e-06 0.00011572
5.99999e-06 0.000115944
5.99999e-06 0.000116169
5.99999e-06 0.000116394
5.99999e-06 0.000116619
5.99999e-06 0.000116843
5.99999e-06 0.000117068
5.99999e-06 0.000117293
5.99999e-06 0.000117517
5.99999e-06 0.000117742
5.99999e-06 0.000117967
5.99999e-06 0.000118191
5.99999e-06 0.000118416
5.99999e-06 0.000118641
5.99999e-06 0.000118866
5.99999e-06 0.00011909
5.99999e-06 0.000119315
5.99999e-06 0.00011954
5.99999e-06 0.000119764
5.99999e-06 0.000119989
5.99999e-06 0.000120214
5.99999e-06 0.000120438
5.99999e-06 0.000120663
5.99999e-06 0.000120888
5.99999e-06 0.000121112
5.99999e-06 0.000121337
5.99999e-06 0.000121562
5.99999e-06 0.000121787
5.99999e-06 0.000122011
5.99999e-06 0.000122236
5.99999e-06 0.000122461
5.99999e-06 0.000122685
5.99999e-06 0.00012291
5.99999e-06 0.000123135
5.99999e-06 0.000123359
5.99999e-06 0.000123584
5.99999e-06 0.000123809
5.99999e-06 0.000124034
5.99999e-06 0.000124258
5.99999e-06 0.000124483
5.99999e-06 0.000124708
5.99999e-06 0.000124932
5.99999e-06 0.000125157
5.99999e-06 0.000125382
5.99999e-06 0.000125606
5.99999e-06 0.000125831
5.99999e-06 0.000126056
5.99999e-06 0.000126281
5.99999e-06 0.000126505
5.99999e-06 0.00012673
5.99999e-06 0.000126955
5.99999e-06 0.000127179
5.99999e-06 0.000127404
5.99999e-06 0.000127629
5.99999e-06 0.000127853
5.99999e-06 0.000128078
5.99999e-06 0.000128303
5.99999e-06 0.000128528
5.99999e-06 0.000128752
5.99999e-06 0.000128977
5.99999e-06 0.000129202
5.99999e-06 0.000129426
5.99999e-06 0.000129651
5.99999e-06 0.000129876
5.99999e-06 0.0001301
5.99999e-06 0.000130325
5.99999e-06 0.00013055
5.99999e-06 0.000130775
5.99999e-06 0.000130999
5.99999e-06 0.000131224
5.99999e-06 0.000131449
5.99999e-06 0.000131673
5.99999e-06 0.000131898
5.99999e-06 0.000132123
5.99999e-06 0.000132347
5.99999e-06 0.000132572
5.99999e-06 0.000132797
5.99999e-06 0.000133022
